Buddhism;22,972;29,856;52,830
Christianity:;;;
Anglican;164,814;189,974;354,790
Assyrian Apostolic;19;11;33
Baptist;20,089;22,030;42,116
Brethren;0,899;0,888;1,785
Catholic;254,517;275,846;530,361
Churches of Christ;3,281;4,207;7,493
Eastern Orthodox;11,546;12,166;23,711
Jehovah's Witnesses;4,824;6,271;11,089
Latter-day Saints;3,185;3,620;6,799
Lutheran;3,597;4,337;7,927
Oriental Orthodox;1,377;1,345;2,726
Other Protestant;7,807;8,712;16,521
Pentecostal;12,109;14,083;26,195
Presbyterian and Reformed;21,594;23,198;44,788
Salvation Army;1,863;2,523;4,383
Seventh-day Adventist;3,199;3,910;7,112
Uniting Church;24,525;32,163;56,688
Christianity, nfd;39,077;44,596;83,670
Other Christian;1,591;1,809;3,408
Total;579,920;651,689;1,231,600
Hinduism;20,617;18,116;38,739
Islam;27,056;23,592;50,649
Judaism;2,634;2,789;5,427
Other Religions:;;;
Australian Aboriginal Traditional Religions;606;514;1,116
Sikhism;6,565;5,336;11,897
Other Religious Groups(a);4,246;5,769;10,019
Total;11,419;11,612;23,031
Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation:;;;
No Religion, so described(b);430,115;374,157;804,268
Secular Beliefs(c);4,324;3,204;7,525
Other Spiritual Beliefs(d);1,757;2,585;4,342
Total;436,199;379,941;816,144
Religious affiliation not stated(e);137,591;118,397;255,987
;;;
Total;1,238,419;1,235,994;2,474,410
